Kalimat;Kategori
Selama ini posisi kader posyandu sangat sentral , baik dalam pelayanan KIA modern maupun dalam kehidupan masyarakat;Deskripsi
Mereka biasanya aktif dalam berbagai kegiatan desa bersama dengan kepala desa dan bidan desa;Deskripsi
Bagi masyarakat , kader posyandu merupakan sumber pengetahuan dan pertolongan terkait kesehatan ibu dan anak;Deskripsi
Kader posyandu jauh lebih paham mengenai situasi dan kondisi nyata masyarakat di desa dan dusunnya;Deskripsi
Hal ini pada akhirnya memengaruhi kesediaan masyarakat untuk menjadi kader posyandu;Deskripsi
Selain kader utama atau ketua kader , kader posyandu yang lain cenderung berganti-ganti dan tidak bertahan lama;Deskripsi
Meskipun posisi mereka sentral dalam peningkatan taraf kesehatan masyarakat , tidak semuanya mendapatkan pelatihan;Deskripsi
Jenis pelatihan yang diberikan kepada para kader ini umumnya tidak baku dan berbeda tiap daerahnya;Deskripsi
Puskesmas tidak populer di NTT karena adanya kendala akses fisik;Deskripsi
Selain itu , ada juga dusun yang aksesnya lebih dekat ke puskesmas di desa tetangga daripada ke polindes di desa bersangkutan;Deskripsi
Sebagian bangunan polindes telah permanen lengkap dengan ruang periksa dan ruang inap bagi ibu pascalahir ;Deskripsi
Bahkan , ada juga bangunan polindes yang sekaligus menjadi tempat tinggal bidan;Deskripsi
Ada beberapa bangunan polindes juga yang dibangun atas prakarsa masyarakat , selain melalui kegiatan PPK;Deskripsi
Namun , ada juga polindes yang bangunannya belum permanen dan tidak memiliki fasilitas air dan listrik;Deskripsi
Pada kebanyakan hasil pengamatan , posyandu tidak memiliki bangunan permanen;Deskripsi
Meskipun demikian , banyak anggota masyarakat yang menginginkan diadakannya bangunan permanen ini;Deskripsi
Keadaan menjadi lebih buruk lagi dengan tidak adanya fasilitas dasar seperti listrik;Deskripsi
Sedikitnya jumlah bidan desa dibandingkan dengan luasnya cakupan wilayah pelayanan menyebabkan beban kerja bidan menjadi berat;Deskripsi
Beban kerja mereka menjadi lebih berat lagi dengan adanya kondisi infrastruktur jalan yang buruk;Deskripsi
Idealnya , dalam satu desa dengan wilayah yang luas cakupannya dan terpencil , diperlukan lebih dari satu bidan desa;Deskripsi
Dengan keadaan yang ada , terdapat bidan desa yang menggabungkan dua posyandu atau lebih dalam satu kali penyelenggaraan posyandu;Deskripsi
Proses penggantian biaya Askeskin terkadang juga tidak berjalan dengan mudah;Deskripsi
Biaya melahirkan di NTT lebih kecil daripada biaya melahirkan di Jawa Barat yang berkisar antara Rp400.000-600.000;Deskripsi
Tidak seperti di Jawa Barat , di NTT , bidan desa tidak melakukan praktik pribadi;Deskripsi
Kecuali kader posyandu , pada umumnya masyarakat masih sepenuhnya menjadi pengguna jasa pelayanan;Deskripsi
Mereka tidak terlibat secara langsung dalam proses pengambilan keputusan menyangkut penyediaan pelayanan;Deskripsi
Peningkatan pelayanan KIA juga masih sangat bergantung pada pemerintah dan pihak pemberi pelayanan;Deskripsi
polindes dan rumah bidan umumnya dibangun oleh warga desa;Deskripsi
Secara umum , kerja sama penyedia pelayanan KIA dengan masyarakat , termasuk aparat desa dan tokoh masyarakat , sangat baik;Deskripsi
Bahkan , masyarakat sangat mendukung dan mengandalkan posyandu;Deskripsi
Masyarakat juga bersedia menjadi kader posyandu walau tanpa insentif sekalipun , atau kalaupun ada , sangat kecil jumlahnya;Deskripsi
Di beberapa wilayah , masyarakat pun bersedia berjalan berkilo-kilo jauhnya untuk hadir di posyandu;Deskripsi
Dukungan aparat desa dan tokoh masyarakat terhadap pelayanan KIA modern juga sangat besar;Deskripsi
Aparat desa juga sering hadir dalam kegiatan posyandu;Deskripsi
Di beberapa wilayah , aparat desa juga menyepakati diterapkannya denda yang diperkuat oleh perdes (peraturan desa);Deskripsi
Di NTT , peran lembaga donor cukup dominan dalam mendorong masyarakat untuk menggunakan pelayanan KIA;Deskripsi
CWS juga memberikan obat cacing kepada anak-anak;Deskripsi
Selain itu , WFP (World Food Programme) memberikan susu , gula , minyak goreng , dan biskuit;Deskripsi
Namun , secara khusus mereka mengalami kesulitan dalam menjangkau paling tidak tiga kelompok masyarakat tertentu , ;Deskripsi
Hal yang sama terjadi di Desa Oehela , Batu Putih , TTU;Deskripsi
Masyarakat membangun rumah kebun di ladang mereka untuk ditempati selama musim persiapan lahan dan musim panen;Deskripsi
membuat bidan desa mengalami kesukaran untuk dapat menjangkau mereka;Deskripsi
Di Kabupaten Cirebon , nelayan seringkali harus mencari ikan jauh ke luar daerah;Deskripsi
Tabel tersebut juga mengindikasikan bahwa di NTT,ada wilayah yang jumlah dukunnya justru meningkat;Deskripsi
Di sebagian besar wilayah Jawa Barat , kecuali di wilayah terpencil , keberadaan dan peran dukun beranak semakin berkurang;Deskripsi
Berikut ini beberapa pernyataan masyarakat;Deskripsi
(Kepala desa di Darmaraja , Sumedang , West Java) Paraji itu biasanya hanya untuk upacara adat , seperti digeyong begitu;Deskripsi
Ada juga upacara penguburan tali ari-ari juga dilakukan oleh paraji itu;Deskripsi
Seorang dukun beranak di Darmaraja , Sumedang , Jawa Barat memberikan kesaksian berikut;Deskripsi
Pada Tabel 4 , terlihat bahwa jumlah dukun beranak di beberapa kecamatan justru meningkat;Deskripsi
Kebijakan ini juga telah mengurangi persaingan antara pemberi pelayanan kesehatan tradisional dan pemberi pelayanan KIA modern;Deskripsi
Baik bidan desa maupun dukun beranak di kabupaten ini mengaku tidak ada persaingan di antara mereka;Deskripsi
Di NTT , dukun beranak bahkan juga menjadi kader posyandu;Deskripsi
Hanya di wilayah yang terpencil dan/atau banyak penduduk miskinnya , masih ada yang tidak menggunakan KIA modern;Deskripsi
Akan tetapi , tidak ada masyarakat yang tidak pernah menggunakan fasilitas KIA modern sama sekali;Deskripsi
Untuk ibu hamil , dapat dikatakan bahwa seluruhnya telah melakukan pemeriksaan kesehatan secara rutin;Deskripsi
Saat melahirkan memang masih ada yang menggunakan jasa paraji , akan tetapi selalu dihimbau agar selalu memberitahukan bidan;Deskripsi
Di Jawa Barat , beberapa desa relatif mudah diakses dan sarana transportasi cukup memadai;Deskripsi
Hal tersebut tergambar dalam beberapa pernyataan berikut ini;Deskripsi
"Kalau tidak ada Bidan Eulis , baru ke puskesmas; tapi , yang utama ke Bidan Eulis";Narasi
Hujan-hujan pun kami pergi ke ibu bidan karena dari dia kami dapat semua pelayanan kesehatan mama-mama dan bayi di sini;Narasi
Ibu bidan yang kasi suntik , imunisasi , obat dan ajar kami cara merawat bayi dan cara menyusui bayi;Narasi
Dukun beranak juga muncul pada urutan pertama pemberi pelayanan pascalahir di desa-desa berikut;Deskripsi
"Setelah melahirkan , masyarakat di NTT umumnya tidak banyak menggunakan dukun beranak; tidak seperti di Jawa Barat";Deskripsi
Seorang laki-laki dari Desa Mundu Pesisir , Mundu , Cirebon , Jawa Barat membenarkan;Deskripsi
Tapi , begitu di rumah , Bidan Dede dan Bu Ayu itu hanya ngontrol;Narasi
Pada saat melahirkan , mereka datang ke tempat praktik bidan atau memanggil bidan ke rumah mereka;Deskripsi
Di NTT , masyarakat sangat mengandalkan posyandu dan polindes untuk pemeriksaan pada saat hamil;Deskripsi
Ketika melahirkan , mereka juga mengandalkan polindes atau memanggil bidan desa ke rumah mereka;Deskripsi
Beberapa pernyataan berikut ini menggambarkan hal tersebut;Deskripsi
Kalau tensi darahnya tinggi atau kehamilan berisiko , ibu bidan bisa tangani;Narasi
Ibu bidan juga memberikan suntik , setelah ibu melahirkan;Deskripsi
(FGD Kelompok Ibu , Susukan , Susukan , Cirebon , Jawa Barat) Bidan punya alat lengkap;Deskripsi
Ada infus , ukur tensi darah , suntikan , obat , alat timbang bayi;Deskripsi
Bidan juga sedia kamar di polindes buat mama-mama yang baru melahirkan;Deskripsi
(FGD Kelompok Ibu , Neglasari , Darmaraja , Sumedang , Jawa Barat) Jika tidak pakai bidan nanti bidan marah;Deskripsi
Imunisasi paling banyak dilakukan di posyandu (lihat Lampiran 16);Deskripsi
Bahkan di Jawa Barat , mereka pergi ke tempat praktik bidan untuk mendapatkan imunisasi;Deskripsi
(FGD Kelompok Ibu , Taunbaen , Biboki Utara , TTU , NTT) Pokoknya anak harus lengkap imunisasinya , sampai selesai;Deskripsi
Kalau jadwal imunisasi pasti , semua hadir kecuali anak sedang sakit;Deskripsi
Hal ini digambarkan oleh pernyataan-pernyataan berikut ini;Deskripsi
Ada memang anak yang tidak diimunisasi karena takut panas setelah diimunisasi;Deskripsi
"Apalagi setelah lihat di TV ada yang meninggal dan lumpuh setelah diimunisasi; makanya ada masyarakat yang takut";Deskripsi
Semua anak-anak ditimbang di posyandu atau polindes;Deskripsi
Kami mau tahu anak masuk gizi buruk atau tidak;Narasi
(FGD Kelompok Ibu , Kuanek , Miomaffo Timur , TTU , NTT) Anak ditimbang di posyandu dan beratnya dicatat kader di buku;Deskripsi
Sebagian besar masyarakat mendapat pengetahuan gizi dari posyandu dan bidan desa;Deskripsi
Di sebagian besar posyandu , masyarakat bahkan secara sukarela membayar iuran untuk PMT;Deskripsi
Biasanya anak-anak yang sudah kena garis merah atau berat badannya kurang nanti kader atau ibu bidan suruh ke puskesmas;Narasi
Anak dapat susu selama beberapa bulan supaya berat badan naik;Deskripsi
"Bapak Kuwu (kepala desa) juga kadang kasih makanan di Kantor Balai Desa; ibu-ibu yang masak";Narasi
(FGD Kelompok Ibu , Susukan , Susukan , Cirebon , Jawa Barat) Kalau ada anak gizi buruk di sini , nanti ibu bidan kasi vitamin;Narasi
Atau , orang tua disuruh bawa anak ke puskesmas atau di Soe [Kabupaten TTS] , ada tempat untuk menampung anak gizi buruk;Deskripsi
Saya melihat jumlah anak-anak yang kekurangan gizi di kecamatan ini cenderung bertambah;Narasi
Karena kekurangpahaman sekolah, pembayaran pajak yang dilakukan sekolah berbeda-beda;Deskripsi
Akibatnya, perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antar daerah;Deskripsi
Namun, tidak semua pelaksana BOS mengetahui tentang aturan ini karena tidak disosialisasikan dengan baik;Deskripsi
Hal ini terjadi karena hampir semua sekolah belum mengetahui aturan dan tata cara pembayaran pajak;Deskripsi
Laporan yang dibuat sekolah dikirim ke satker kabupaten/kota;Deskripsi
Di samping itu, sekolah juga dapat menghemat waktu, tenaga, dan biaya transportasi penyetoran pajak;Deskripsi
Hal-hal yang harus dilaporkan oleh pelaksana di tiap tingkatan adalah sebagai berikut;Deskripsi
Di samping itu, banyak juga sekolah yang berupaya menghindari pembayaran pajak dengan menyiasati nilai atau kuitansi pembayaran;Deskripsi
Akhirnya, satker provinsi menyampaikan laporan ke Satker Pusat;Deskripsi
Namun bentuk laporan yang diperoleh dari lembaga penyalur bervariasi antarprovinsi;Deskripsi
Laporan penanganan dan pengaduan masyarakat, serta laporan monitoring dan evaluasi akan didiskusikan di sub-bab 2.6;Deskripsi
Subbab ini hanya membahas laporan penggunaan/pemanfaatan dana BOS;Deskripsi
Selanjutnya, satker kabupaten/kota membuat laporan pelaksanaan program untuk diserahkan ke satker provinsi;Deskripsi
Berkaitan dengan laporan penggunaan dana BOS, sekolah menyerahkan laporan ke satker kabupaten/kota;Deskripsi
Satker kabupaten/kota seharusnya mengirimkan laporan-laporan ke satker provinsi;Deskripsi
Alur pelaporan di daerah-daerah sampel kajian ini agak bervariasi, dan secara umum disajikan di Gambar 2.4;Deskripsi
Selanjutnya satker provinsi menyusun laporan pelaksanaan program untuk dikirimkan ke Satker Pusat;Deskripsi
Di Provinsi Banten, selain UPTD, kantor pos kecamatan juga dapat berfungsi sebagai perantara penyampaian laporan tersebut;Deskripsi
Kanwil Depag juga menyusun laporan untuk diserahkan ke Departemen Agama, dan salinannya diserahkan ke satker provinsi;Deskripsi
Dengan adanya contohcontoh tersebut diharapkan sekolah tidak mengalami kesulitan dalam menyusun laporan;Deskripsi
Untuk mempermudah sekolah membuat laporan, di dalam juklak tersedia contoh-contoh format laporan;Deskripsi
